. s.,,
th Grade Schoo,,
• (1) Three inch binder,Three inch binder,1
• (2 packs) Loose leaf paper,Loose leaf paper,1
• (5) Subject dividers (for binder),Subject dividers,5
• Pens (blue and black ink ONLY),Pens,Multiple
• Portable pencil sharpener,Portable pencil sharpener,1
• Box of colored pencils,colored pencils,Multiple
• (2) Boxes of tissues,tissues,Multiple
• Hand sanitizer,Hand sanitizer,1
• (2) Composition notebooks,Composition notebooks,Multiple
• (2) Two -pocket folders,Two pocket folders,Multiple
�.r,,
.•,,
4,,
4,,
