"3 i;ab.s of tiR, :de -ruled notebook paper",ruled notebook paper,3
2 p. cks of blue ink pens with eraser attached,ink pens,2
4 clue s_ ::ks 4 bG rras de pegamento,clue,4
1 bnx o no.2 ;pencils,pencils,1
1 pack of 24 cc ored pencils,pack pencils,1
Post -;t (assorted colors and sizes),Post,1
"1 Jump dr , • flash drive for file storage (at least one gigabyte/Gb) • fa.",Jump flash drive,1
2 packs or 100 '..h;te lined index cards,pack 100 lined index cards,2
"13 , notebooks (black and white) - NO SPIRAL NOTEBOOKS PER"",1l T T`D",notebooks SPIRAL NOTEBOOKS PER,13
3-prc.ng pocket folders (3 different colors),pocket folders,3
pack of graph paper (for math),pack graph paper,1
tticix 0: Crayoia brand markers,brand markers,Multiple
2 boxes of KIeerex tissues,tissues,2
2 hot; e.s of hand san;tizer or lotion soap,hot hand lotion soap,2
1 roil of paper towels,roil paper towels,1
1 box of -gallon storage bags,gallon storage bags,1
1 box of 1 -quart storage hags,quart storage hags,1
1 box of sandwich bags,sandwich bags,1
