esso•-T-Mobile ^s 2:58 PM 43% IN,Mobile,1
En e
updated June 2017,updated,2017
"1 -Folders, Poly, 2 Pocket, 9 Hole, S Pk, P'•••• `—' ^--eeu,Ye1low, Purple",Folders Pocket Hole Purple,1
"1 -Folder, Poly, 2 Pocket. 9 hole, Orange",Folder Pocket hole Orange,1
"1 -folder, Poly, 2 Pocket, 9 Hole, White",folder Pocket Hole White,1
"7-C.....�...e:.:....:. Marble Covet, Wide Ruled, 10O Sheets, Black",Marble Covet Wide Ruled Sheets Black,7
"2 -Paper Towels, Roll, 2 Ply, 85 Sheets",Paper Towels Roll Ply Sheets,2
"9 -Facial Tissues, 'Scotties', Hypo-Allergeulc, 2008",Facial Tissues Scotties Hypo 2008,9
"1 -Pencil case, Fabric, 9 hole w/Grommets,10 s 6'",Pencil case Fabric Grommets,1
"2 -s""^' -'<^`•-s, Chise117p, Yellow, w/Pkt Clip",Yellow,2
"1 -Pencils, s2, Oriole, Sharpened, l dr",Pencils Oriole Sharpened,1
"6 -Stick On Notes, rr 9', lined, Asst., 80 Sheet/Pad"
"1 -Ruler, 12', Plastic, 10th Si Cm, Center Holes",Ruler Plastic Center Holes,1
"1 -Bulk Copy Paper, 2O1b, 8.8 o ir, 100/Pk white",Bulk Copy Paper 100,1
"1-FWer Paper, Wide Ruled 1O.S'o 8',120/56",Paper Wide Ruled 120,1
"1 -Crayons, Tuck Box,16/Bas",Crayons Tuck Box Bas,1
"3 -Glue Sticks, E1mer's Washable, Purple, Drift Elms, 21 or",Glue Sticks Washable Purple Drift Elms,3
"1 -Scissors, S, Pointed Tip",Scissors Pointed Tip,1
"1 -Pencils, Colored, 7', Sharpened, 12/Set",Pencils Colored Sharpened Set,1
"1 -Free ""Money From Home' 8 Student ID Labels",Free Money From Home Labels,1
"1 -Baby Wipes, 8O ct Tub",Baby Wipes Tub,1
"""KEEP EXTRA SUPPLIES AT HOME"""
"**Summer is a great time to practice addition, subtraction and",Summer great time practice addition subtraction,1
"—••••••, with flash cards (please purchase or make gourown)"
>site Designed by Jul TT'RFomestead Ta D@5jgl
